frame_index,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw
0,0,0.000000,0,998
1,1,0.002000,0,1004
2,2,0.004000,0,1007
3,3,0.006000,0,1002
4,4,0.008000,0,993
5,5,0.010000,0,990
6,6,0.012000,0,997
7,7,0.014000,0,1007
8,8,0.016000,0,1009
9,9,0.018000,0,1001
10,10,0.020000,0,992
11,11,0.022000,0,991
12,12,0.024000,0,1000
13,13,0.026000,0,1007
14,14,0.028000,0,1005
15,15,0.030000,0,998
16,16,0.032000,0,993
17,17,0.034000,0,996
18,18,0.036000,0,1002
19,19,0.038000,0,1005
20,20,0.040000,0,1001
21,21,0.042000,0,996
22,22,0.044000,0,995
23,23,0.046000,0,998
24,24,0.048000,0,1004
25,25,0.050000,0,1005
26,26,0.052000,0,1000
27,27,0.054000,0,993
28,28,0.056000,0,992
29,29,0.058000,0,1000
30,30,0.060000,0,1008
31,31,0.062000,0,1007
32,32,0.064000,0,998
33,33,0.066000,0,991
34,34,0.068000,0,994
35,35,0.070000,0,1003
36,36,0.072000,0,1007
37,37,0.074000,0,1003
38,38,0.076000,0,997
39,39,0.078000,0,995
40,40,0.080000,0,997
41,41,0.082000,0,1001
42,42,0.084000,0,1002
43,43,0.086000,0,1002
44,44,0.088000,0,1000
45,45,0.090000,0,998
46,46,0.092000,0,997
47,47,0.094000,0,999
48,48,0.096000,0,1002
49,49,0.098000,0,1001
50,50,0.100000,0,999
51,51,0.102000,0,998
52,52,0.104000,0,999
53,53,0.106000,0,999
54,54,0.108000,0,1000
55,55,0.110000,0,1001
56,56,0.112000,0,1002
57,57,0.114000,0,999
58,58,0.116000,0,996
59,59,0.118000,0,996
60,60,0.120000,0,1000
61,61,0.122000,0,1004
62,62,0.124000,0,1004
63,63,0.126000,0,999
64,64,0.128000,0,995
65,65,0.130000,0,996
66,66,0.132000,0,999
67,67,0.134000,0,1003
68,68,0.136000,0,1003
69,69,0.138000,0,1000
70,70,0.140000,0,997
71,71,0.142000,0,996
72,72,0.144000,0,1000
73,73,0.146000,0,1003
74,74,0.148000,0,1000
75,75,0.150000,0,996
76,76,0.152000,0,997
77,77,0.154000,0,1003
78,78,0.156000,0,1006
79,79,0.158000,0,1000
80,80,0.160000,0,992
81,81,0.162000,0,993
82,82,0.164000,0,1002
83,83,0.166000,0,1009
84,84,0.168000,0,1004
85,85,0.170000,0,994
86,86,0.172000,0,990
87,87,0.174000,0,998
88,88,0.176000,0,1007
89,89,0.178000,0,1006
90,90,0.180000,0,998
91,91,0.182000,0,993
92,92,0.184000,0,998
93,93,0.186000,0,1003
94,94,0.188000,0,1002
95,95,0.190000,0,997
96,96,0.192000,0,996
97,97,0.194000,0,1001
98,98,0.196000,0,1005
99,99,0.198000,0,1001
100,100,0.200000,0,995
101,101,0.202000,0,994
102,102,0.204000,0,998
103,103,0.206000,0,1003
104,104,0.208000,0,1004
105,105,0.210000,0,1001
106,106,0.212000,0,997
107,107,0.214000,0,995
108,108,0.216000,0,997
109,109,0.218000,0,1001
110,110,0.220000,0,1004
111,111,0.222000,0,1002
112,112,0.224000,0,997
113,113,0.226000,0,996
114,114,0.228000,0,999
115,115,0.230000,0,1003
116,116,0.232000,0,1000
117,117,0.234000,0,996
118,118,0.236000,0,997
119,119,0.238000,0,1002
120,120,0.240000,0,1005
121,121,0.242000,0,1000
122,122,0.244000,0,994
123,123,0.246000,0,994
124,124,0.248000,0,1001
125,125,0.250000,0,1006
126,126,0.252000,0,1003
127,127,0.254000,0,995
128,128,0.256000,0,993
129,129,0.258000,0,1000
130,130,0.260000,0,1005
131,131,0.262000,0,1003
132,132,0.264000,0,996
133,133,0.266000,0,995
134,134,0.268000,0,1000
135,135,0.270000,0,1004
136,136,0.272000,0,1001
137,137,0.274000,0,997
138,138,0.276000,0,997
139,139,0.278000,0,1000
140,140,0.280000,0,1002
141,141,0.282000,0,999
142,142,0.284000,0,996
143,143,0.286000,0,999
144,144,0.288000,0,1004
145,145,0.290000,0,1003
146,146,0.292000,0,997
147,147,0.294000,0,993
148,148,0.296000,0,997
149,149,0.298000,0,1004
150,150,0.300000,0,1006
151,151,0.302000,0,1000
152,152,0.304000,0,995
153,153,0.306000,0,995
154,154,0.308000,0,1000
155,155,0.310000,0,1004
156,156,0.312000,0,1003
157,157,0.314000,0,998
158,158,0.316000,0,996
159,159,0.318000,0,997
160,160,0.320000,0,1001
161,161,0.322000,0,1003
162,162,0.324000,0,1001
163,163,0.326000,0,996
164,164,0.328000,0,995
165,165,0.330000,0,999
166,166,0.332000,0,1005
167,167,0.334000,0,1005
168,168,0.336000,0,998
169,169,0.338000,0,992
170,170,0.340000,0,994
171,171,0.342000,0,1003
172,172,0.344000,0,1008
173,173,0.346000,0,1004
174,174,0.348000,0,995
175,175,0.350000,0,992
176,176,0.352000,0,997
177,177,0.354000,0,1005
178,178,0.356000,0,1006
179,179,0.358000,0,999
180,180,0.360000,0,994
181,181,0.362000,0,995
182,182,0.364000,0,1002
183,183,0.366000,0,1006
184,184,0.368000,0,1002
185,185,0.370000,0,996
186,186,0.372000,0,993
187,187,0.374000,0,998
188,188,0.376000,0,1005
189,189,0.378000,0,1005
190,190,0.380000,0,999
191,191,0.382000,0,993
192,192,0.384000,0,996
193,193,0.386000,0,1003
194,194,0.388000,0,1005
195,195,0.390000,0,1000
196,196,0.392000,0,995
197,197,0.394000,0,997
198,198,0.396000,0,1002
199,199,0.398000,0,1003
200,200,0.400000,0,999
201,201,0.402000,0,996
202,202,0.404000,0,998
203,203,0.406000,0,1002
204,204,0.408000,0,1003
205,205,0.410000,0,999
206,206,0.412000,0,995
207,207,0.414000,0,996
208,208,0.416000,0,1002
209,209,0.418000,0,1006
210,210,0.420000,0,1003
211,211,0.422000,0,996
212,212,0.424000,0,992
213,213,0.426000,0,997
214,214,0.428000,0,1005
215,215,0.430000,0,1007
216,216,0.432000,0,999
217,217,0.434000,0,991
218,218,0.436000,0,994
219,219,0.438000,0,1004
220,220,0.440000,0,1008
221,221,0.442000,0,1000
222,222,0.444000,0,991
223,223,0.446000,0,993
224,224,0.448000,0,1003
225,225,0.450000,0,1008
226,226,0.452000,0,1002
227,227,0.454000,0,994
228,228,0.456000,0,992
229,229,0.458000,0,1000
230,230,0.460000,0,1007
231,231,0.462000,0,1005
232,232,0.464000,0,996
233,233,0.466000,0,992
234,234,0.468000,0,996
235,235,0.470000,0,1004
236,236,0.472000,0,1007
237,237,0.474000,0,1001
238,238,0.476000,0,993
239,239,0.478000,0,992
240,240,0.480000,0,1000
241,241,0.482000,0,1007
242,242,0.484000,0,1006
243,243,0.486000,0,997
244,244,0.488000,0,992
245,245,0.490000,0,997
246,246,0.492000,0,1004
247,247,0.494000,0,1004
248,248,0.496000,0,998
249,249,0.498000,0,995
250,250,0.500000,0,1001
251,251,0.502000,0,1004
252,252,0.504000,0,999
253,253,0.506000,0,993
254,254,0.508000,0,995
255,255,0.510000,0,1005
256,256,0.512000,0,1009
257,257,0.514000,0,1002
258,258,0.516000,0,990
259,259,0.518000,0,989
260,260,0.520000,0,1000
261,261,0.522000,0,1011
262,262,0.524000,0,1010
263,263,0.526000,0,997
264,264,0.528000,0,988
265,265,0.530000,0,991
266,266,0.532000,0,1002
267,267,0.534000,0,1009
268,268,0.536000,0,1006
269,269,0.538000,0,997
270,270,0.540000,0,992
271,271,0.542000,0,995
272,272,0.544000,0,1002
273,273,0.546000,0,1006
274,274,0.548000,0,1001
275,275,0.550000,0,995
276,276,0.552000,0,994
277,277,0.554000,0,1001
278,278,0.556000,0,1007
279,279,0.558000,0,1003
280,280,0.560000,0,994
281,281,0.562000,0,991
282,282,0.564000,0,998
283,283,0.566000,0,1007
284,284,0.568000,0,1008
285,285,0.570000,0,999
286,286,0.572000,0,991
287,287,0.574000,0,993
288,288,0.576000,0,1002
289,289,0.578000,0,1007
290,290,0.580000,0,1004
291,291,0.582000,0,996
292,292,0.584000,0,993
293,293,0.586000,0,997
294,294,0.588000,0,1003
295,295,0.590000,0,1005
296,296,0.592000,0,1000
297,297,0.594000,0,995
298,298,0.596000,0,996
299,299,0.598000,0,1001
300,300,0.600000,0,1003
301,301,0.602000,0,1000
302,302,0.604000,0,997
303,303,0.606000,0,999
304,304,0.608000,0,1002
305,305,0.610000,0,1001
306,306,0.612000,0,995
307,307,0.614000,0,995
308,308,0.616000,0,1002
309,309,0.618000,0,1007
310,310,0.620000,0,1003
311,311,0.622000,0,993
312,312,0.624000,0,990
313,313,0.626000,0,999
314,314,0.628000,0,1008
315,315,0.630000,0,1007
316,316,0.632000,0,997
317,317,0.634000,0,991
318,318,0.636000,0,997
319,319,0.638000,0,1005
320,320,0.640000,0,1005
321,321,0.642000,0,997
322,322,0.644000,0,993
323,323,0.646000,0,998
324,324,0.648000,0,1006
325,325,0.650000,0,1005
326,326,0.652000,0,996
327,327,0.654000,0,991
328,328,0.656000,0,997
329,329,0.658000,0,1006
330,330,0.660000,0,1006
331,331,0.662000,0,997
332,332,0.664000,0,993
333,333,0.666000,0,998
334,334,0.668000,0,1004
335,335,0.670000,0,1003
336,336,0.672000,0,997
337,337,0.674000,0,995
338,338,0.676000,0,1000
339,339,0.678000,0,1003
340,340,0.680000,0,1001
341,341,0.682000,0,997
342,342,0.684000,0,996
343,343,0.686000,0,1000
344,344,0.688000,0,1003
345,345,0.690000,0,1001
346,346,0.692000,0,997
347,347,0.694000,0,997
348,348,0.696000,0,1001
349,349,0.698000,0,1003
350,350,0.700000,0,1000
351,351,0.702000,0,996
352,352,0.704000,0,997
353,353,0.706000,0,1001
354,354,0.708000,0,1003
355,355,0.710000,0,1000
356,356,0.712000,0,997
357,357,0.714000,0,997
358,358,0.716000,0,1001
359,359,0.718000,0,1002
360,360,0.720000,0,1001
361,361,0.722000,0,997
362,362,0.724000,0,997
363,363,0.726000,0,1000
364,364,0.728000,0,1003
365,365,0.730000,0,1001
366,366,0.732000,0,996
367,367,0.734000,0,997
368,368,0.736000,0,1001
369,369,0.738000,0,1003
370,370,0.740000,0,1000
371,371,0.742000,0,996
372,372,0.744000,0,998
373,373,0.746000,0,1002
374,374,0.748000,0,1002
375,375,0.750000,0,998
376,376,0.752000,0,996
377,377,0.754000,0,999
378,378,0.756000,0,1003
379,379,0.758000,0,1002
380,380,0.760000,0,997
381,381,0.762000,0,996
382,382,0.764000,0,1000
383,383,0.766000,0,1003
384,384,0.768000,0,1000
385,385,0.770000,0,995
386,386,0.772000,0,997
387,387,0.774000,0,1005
388,388,0.776000,0,1006
389,389,0.778000,0,997
390,390,0.780000,0,990
391,391,0.782000,0,995
