frame_index,host_receive_time,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw,Channel2_raw,Channel 3_raw,Channel 4_raw,Channel1_display,Channel2_display,Channel 3_display,Channel 4_display
38340,2026-07-30T09:26:59.191+08:00,0,0.000000,0,1021,34,1001,2,21.000000,34.000000,1.000000,2.000000
38341,2026-07-30T09:26:59.191+08:00,1,0.002000,0,1005,34,997,2,5.000000,34.000000,-3.000000,2.000000
38342,2026-07-30T09:26:59.191+08:00,2,0.004000,0,976,34,995,2,-24.000000,34.000000,-5.000000,2.000000
38343,2026-07-30T09:26:59.191+08:00,3,0.006000,0,969,34,998,2,-31.000000,34.000000,-2.000000,2.000000
38344,2026-07-30T09:26:59.191+08:00,4,0.008000,0,1001,34,1003,2,1.000000,34.000000,3.000000,2.000000
38345,2026-07-30T09:26:59.191+08:00,5,0.010000,0,1040,34,1004,2,40.000000,34.000000,4.000000,2.000000
38346,2026-07-30T09:26:59.199+08:00,6,0.012000,0,1035,34,1000,2,35.000000,34.000000,0.000000,2.000000
38347,2026-07-30T09:26:59.199+08:00,7,0.014000,0,985,34,995,2,-15.000000,34.000000,-5.000000,2.000000
38348,2026-07-30T09:26:59.199+08:00,8,0.016000,0,948,34,996,2,-52.000000,34.000000,-4.000000,2.000000
38349,2026-07-30T09:26:59.199+08:00,9,0.018000,0,970,36,1001,2,-30.000000,36.000000,1.000000,2.000000
38350,2026-07-30T09:26:59.199+08:00,10,0.020000,0,1026,36,1002,2,26.000000,36.000000,2.000000,2.000000
38351,2026-07-30T09:26:59.204+08:00,11,0.022000,0,1048,36,1000,2,48.000000,36.000000,0.000000,2.000000
38352,2026-07-30T09:26:59.204+08:00,12,0.024000,0,1014,36,998,2,14.000000,36.000000,-2.000000,2.000000
38353,2026-07-30T09:26:59.204+08:00,13,0.026000,0,973,36,998,2,-27.000000,36.000000,-2.000000,2.000000
38354,2026-07-30T09:26:59.204+08:00,14,0.028000,0,969,36,1000,2,-31.000000,36.000000,0.000000,2.000000
38355,2026-07-30T09:26:59.216+08:00,15,0.030000,0,992,36,1002,2,-8.000000,36.000000,2.000000,2.000000
38356,2026-07-30T09:26:59.216+08:00,16,0.032000,0,1008,36,1001,2,8.000000,36.000000,1.000000,2.000000
38357,2026-07-30T09:26:59.216+08:00,17,0.034000,0,1011,36,998,2,11.000000,36.000000,-2.000000,2.000000
38358,2026-07-30T09:26:59.216+08:00,18,0.036000,0,1014,36,997,2,14.000000,36.000000,-3.000000,2.000000
38359,2026-07-30T09:26:59.216+08:00,19,0.038000,0,1015,36,998,2,15.000000,36.000000,-2.000000,2.000000
38360,2026-07-30T09:26:59.216+08:00,20,0.040000,0,996,36,1001,2,-4.000000,36.000000,1.000000,2.000000
38361,2026-07-30T09:26:59.230+08:00,21,0.042000,0,969,36,1003,2,-31.000000,36.000000,3.000000,2.000000
38362,2026-07-30T09:26:59.230+08:00,22,0.044000,0,969,36,1001,2,-31.000000,36.000000,1.000000,2.000000
38363,2026-07-30T09:26:59.230+08:00,23,0.046000,0,1005,36,999,2,5.000000,36.000000,-1.000000,2.000000
38364,2026-07-30T09:26:59.230+08:00,24,0.048000,0,1040,36,997,2,40.000000,36.000000,-3.000000,2.000000
38365,2026-07-30T09:26:59.230+08:00,25,0.050000,0,1034,36,997,2,34.000000,36.000000,-3.000000,2.000000
38366,2026-07-30T09:26:59.230+08:00,26,0.052000,0,991,36,1000,2,-9.000000,36.000000,0.000000,2.000000
38367,2026-07-30T09:26:59.232+08:00,27,0.054000,0,958,36,1001,2,-42.000000,36.000000,1.000000,2.000000
38368,2026-07-30T09:26:59.232+08:00,28,0.056000,0,969,36,1001,2,-31.000000,36.000000,1.000000,2.000000
38369,2026-07-30T09:26:59.232+08:00,29,0.058000,0,1008,34,1000,2,8.000000,34.000000,0.000000,2.000000
38370,2026-07-30T09:26:59.243+08:00,30,0.060000,0,1033,36,999,2,33.000000,36.000000,-1.000000,2.000000
38371,2026-07-30T09:26:59.243+08:00,31,0.062000,0,1024,34,999,2,24.000000,34.000000,-1.000000,2.000000
38372,2026-07-30T09:26:59.243+08:00,32,0.064000,0,996,34,999,2,-4.000000,34.000000,-1.000000,2.000000
38373,2026-07-30T09:26:59.246+08:00,33,0.066000,0,976,34,999,2,-24.000000,34.000000,-1.000000,2.000000
38374,2026-07-30T09:26:59.246+08:00,34,0.068000,0,976,34,999,2,-24.000000,34.000000,-1.000000,2.000000
38375,2026-07-30T09:26:59.246+08:00,35,0.070000,0,996,34,1000,2,-4.000000,34.000000,0.000000,2.000000
38376,2026-07-30T09:26:59.250+08:00,36,0.072000,0,1020,32,1001,2,20.000000,32.000000,1.000000,2.000000
38377,2026-07-30T09:26:59.250+08:00,37,0.074000,0,1024,32,1000,2,24.000000,32.000000,0.000000,2.000000
38378,2026-07-30T09:26:59.258+08:00,38,0.076000,0,1002,32,998,2,2.000000,32.000000,-2.000000,2.000000
38379,2026-07-30T09:26:59.258+08:00,39,0.078000,0,979,32,998,2,-21.000000,32.000000,-2.000000,2.000000
38380,2026-07-30T09:26:59.258+08:00,40,0.080000,0,981,32,1000,2,-19.000000,32.000000,0.000000,2.000000
38381,2026-07-30T09:26:59.263+08:00,41,0.082000,0,1001,32,1002,2,1.000000,32.000000,2.000000,2.000000
38382,2026-07-30T09:26:59.263+08:00,42,0.084000,0,1013,32,1000,2,13.000000,32.000000,0.000000,2.000000
38383,2026-07-30T09:26:59.263+08:00,43,0.086000,0,1009,32,996,2,9.000000,32.000000,-4.000000,2.000000
38384,2026-07-30T09:26:59.263+08:00,44,0.088000,0,1000,32,996,2,0.000000,32.000000,-4.000000,2.000000
38385,2026-07-30T09:26:59.275+08:00,45,0.090000,0,996,32,1001,2,-4.000000,32.000000,1.000000,2.000000
38386,2026-07-30T09:26:59.275+08:00,46,0.092000,0,995,32,1006,2,-5.000000,32.000000,6.000000,2.000000
38387,2026-07-30T09:26:59.275+08:00,47,0.094000,0,997,32,1003,2,-3.000000,32.000000,3.000000,2.000000
38388,2026-07-30T09:26:59.296+08:00,48,0.096000,0,1000,32,995,2,0.000000,32.000000,-5.000000,2.000000
38389,2026-07-30T09:26:59.296+08:00,49,0.098000,0,1001,30,993,2,1.000000,30.000000,-7.000000,2.000000
38390,2026-07-30T09:26:59.296+08:00,50,0.100000,0,997,30,998,2,-3.000000,30.000000,-2.000000,2.000000
38391,2026-07-30T09:26:59.296+08:00,51,0.102000,0,996,30,1004,2,-4.000000,30.000000,4.000000,2.000000
