frame_index,host_receive_time,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw,Channel2_raw,Channel 3_raw,Channel 4_raw,Channel1_display,Channel2_display,Channel 3_display,Channel 4_display
163433,2026-07-29T17:00:39.311+08:00,0,0.000000,0,1002,4,997,4,2.000000,4.000000,-3.000000,4.000000
163434,2026-07-29T17:00:39.311+08:00,1,0.002000,0,996,4,997,4,-4.000000,4.000000,-3.000000,4.000000
163435,2026-07-29T17:00:39.311+08:00,2,0.004000,0,993,4,999,4,-7.000000,4.000000,-1.000000,4.000000
163436,2026-07-29T17:00:39.311+08:00,3,0.006000,0,998,4,1000,4,-2.000000,4.000000,0.000000,4.000000
163437,2026-07-29T17:00:39.311+08:00,4,0.008000,0,1004,4,999,4,4.000000,4.000000,-1.000000,4.000000
163438,2026-07-29T17:00:39.311+08:00,5,0.010000,0,1003,4,1000,4,3.000000,4.000000,0.000000,4.000000
163439,2026-07-29T17:00:39.319+08:00,6,0.012000,0,999,4,1001,4,-1.000000,4.000000,1.000000,4.000000
163440,2026-07-29T17:00:39.319+08:00,7,0.014000,0,999,4,1001,4,-1.000000,4.000000,1.000000,4.000000
163441,2026-07-29T17:00:39.324+08:00,8,0.016000,0,1001,4,999,4,1.000000,4.000000,-1.000000,4.000000
163442,2026-07-29T17:00:39.324+08:00,9,0.018000,0,1000,4,998,4,0.000000,4.000000,-2.000000,4.000000
163443,2026-07-29T17:00:39.324+08:00,10,0.020000,0,994,4,999,4,-6.000000,4.000000,-1.000000,4.000000
163444,2026-07-29T17:00:39.324+08:00,11,0.022000,0,993,4,1000,4,-7.000000,4.000000,0.000000,4.000000
163445,2026-07-29T17:00:39.324+08:00,12,0.024000,0,1001,4,999,4,1.000000,4.000000,-1.000000,4.000000
163446,2026-07-29T17:00:39.324+08:00,13,0.026000,0,1010,4,999,4,10.000000,4.000000,-1.000000,4.000000
163447,2026-07-29T17:00:39.324+08:00,14,0.028000,0,1007,4,1000,2,7.000000,4.000000,0.000000,2.000000
163448,2026-07-29T17:00:39.359+08:00,15,0.030000,0,994,4,1002,2,-6.000000,4.000000,2.000000,2.000000
163449,2026-07-29T17:00:39.359+08:00,16,0.032000,0,987,4,1001,2,-13.000000,4.000000,1.000000,2.000000
163450,2026-07-29T17:00:39.359+08:00,17,0.034000,0,994,4,997,2,-6.000000,4.000000,-3.000000,2.000000
163451,2026-07-29T17:00:39.359+08:00,18,0.036000,0,1007,4,995,2,7.000000,4.000000,-5.000000,2.000000
163452,2026-07-29T17:00:39.359+08:00,19,0.038000,0,1011,4,998,2,11.000000,4.000000,-2.000000,2.000000
163453,2026-07-29T17:00:39.359+08:00,20,0.040000,0,1003,4,1003,2,3.000000,4.000000,3.000000,2.000000
163454,2026-07-29T17:00:39.359+08:00,21,0.042000,0,993,4,1005,2,-7.000000,4.000000,5.000000,2.000000
