source_file,session_id,window_index,start_sample,end_sample_exclusive,downsampled_start_sample,downsampled_end_sample_exclusive,start_time_s,end_time_s,label,label_id,mav,rms,wl,zc,ssc,mnf,mdf,pkf,bandpower
session_006.csv,session_006,0,0,128,0,64,0.0,0.256,relax,0,35.32643036744935,91.4560039895703,2268.8911325207987,36.0,34.0,61.20590327665831,74.21875,97.65625,119.86302793109915
session_006.csv,session_006,1,64,192,32,96,0.128,0.384,relax,0,2.8549015935542403,3.358654347403498,321.2045561122519,42.0,28.0,89.39350524499552,93.75,93.75,6.92480077209626
session_006.csv,session_006,2,128,256,64,128,0.256,0.512,relax,0,2.9587296929645035,3.4999157324539976,332.58933089977086,43.0,27.0,90.17951751676227,89.84375,93.75,13.138968256601736
session_006.csv,session_006,3,192,320,96,160,0.384,0.64,relax,0,3.5624473253008198,4.278481825019476,410.12814516997196,42.0,27.0,90.03007847798038,93.75,93.75,21.538346483759657
session_006.csv,session_006,4,256,384,128,192,0.512,0.768,relax,0,2.8876191166705194,3.684871624640855,334.8433163940806,40.0,26.0,89.0674828599934,89.84375,97.65625,11.636782883146697
session_006.csv,session_006,5,320,448,160,224,0.64,0.896,relax,0,2.118414694575046,2.5219223089083385,246.7074477762376,38.0,23.0,85.04951699478922,85.9375,97.65625,2.3600004471090736
session_006.csv,session_006,6,384,512,192,256,0.768,1.024,relax,0,3.3590668626345437,4.123408964883883,380.6946656671346,42.0,27.0,92.51072780082454,97.65625,97.65625,14.22568445628328
session_006.csv,session_006,7,448,576,224,288,0.896,1.152,relax,0,3.5744761615427834,4.317411147387287,408.70889082317785,44.0,30.0,89.66936068735089,93.75,97.65625,10.185650876450943
session_006.csv,session_006,8,512,640,256,320,1.024,1.28,relax,0,2.663780206932831,3.10471898142283,294.5488165165865,40.0,24.0,81.08185089347383,82.03125,82.03125,10.242217147975044
session_006.csv,session_006,9,576,704,288,352,1.152,1.408,relax,0,2.2467299537577095,2.6880111358262293,237.39073660135944,33.0,16.0,80.32940297884339,78.125,78.125,6.341821655296244
session_006.csv,session_006,10,640,768,320,384,1.28,1.536,relax,0,2.4667657046865052,3.0083792239312412,271.37181517287365,34.0,20.0,80.46229882645785,82.03125,82.03125,11.407567223653478
session_006.csv,session_006,11,704,832,352,416,1.408,1.664,relax,0,2.788783197144646,3.3215095142955784,311.2329201842904,40.0,25.0,82.95497304571063,82.03125,82.03125,6.033500714664415
session_006.csv,session_006,12,768,896,384,448,1.536,1.792,relax,0,2.6358919753853716,3.1571751261509178,287.40146885455965,37.0,20.0,80.99938662326466,82.03125,82.03125,10.383079149108031
