frame_index,host_receive_time,recording_sample_index,recording_elapsed_s,button_label,Channel1_raw,Channel2_raw,Channel 3_raw,Channel 4_raw,Channel1_display,Channel2_display,Channel 3_display,Channel 4_display
10259,2026-07-29T17:51:50.315+08:00,0,0.000000,0,993,8,1002,2,-7.000000,8.000000,2.000000,2.000000
10260,2026-07-29T17:51:50.327+08:00,1,0.002000,0,993,8,999,2,-7.000000,8.000000,-1.000000,2.000000
10261,2026-07-29T17:51:50.327+08:00,2,0.004000,0,999,8,997,2,-1.000000,8.000000,-3.000000,2.000000
10262,2026-07-29T17:51:50.327+08:00,3,0.006000,0,1004,8,998,2,4.000000,8.000000,-2.000000,2.000000
10263,2026-07-29T17:51:50.345+08:00,4,0.008000,0,1004,8,1002,2,4.000000,8.000000,2.000000,2.000000
10264,2026-07-29T17:51:50.345+08:00,5,0.010000,0,1000,8,1003,2,0.000000,8.000000,3.000000,2.000000
10265,2026-07-29T17:51:50.345+08:00,6,0.012000,0,998,8,1000,2,-2.000000,8.000000,0.000000,2.000000
10266,2026-07-29T17:51:50.345+08:00,7,0.014000,0,999,8,997,2,-1.000000,8.000000,-3.000000,2.000000
10267,2026-07-29T17:51:50.345+08:00,8,0.016000,0,998,8,997,2,-2.000000,8.000000,-3.000000,2.000000
10268,2026-07-29T17:51:50.356+08:00,9,0.018000,0,996,8,1001,2,-4.000000,8.000000,1.000000,2.000000
10269,2026-07-29T17:51:50.356+08:00,10,0.020000,0,997,8,1001,2,-3.000000,8.000000,1.000000,2.000000
10270,2026-07-29T17:51:50.356+08:00,11,0.022000,0,1001,8,998,2,1.000000,8.000000,-2.000000,2.000000
10271,2026-07-29T17:51:50.356+08:00,12,0.024000,0,1006,8,997,2,6.000000,8.000000,-3.000000,2.000000
10272,2026-07-29T17:51:50.356+08:00,13,0.026000,0,1005,8,1000,2,5.000000,8.000000,0.000000,2.000000
10273,2026-07-29T17:51:50.356+08:00,14,0.028000,0,997,8,1003,2,-3.000000,8.000000,3.000000,2.000000
10274,2026-07-29T17:51:50.367+08:00,15,0.030000,0,992,8,1001,2,-8.000000,8.000000,1.000000,2.000000
10275,2026-07-29T17:51:50.367+08:00,16,0.032000,0,995,8,997,2,-5.000000,8.000000,-3.000000,2.000000
10276,2026-07-29T17:51:50.367+08:00,17,0.034000,0,1003,8,995,2,3.000000,8.000000,-5.000000,2.000000
